index,Date,Time,Location,Operator,Type,Aboard,Fatalities,Ground,Summary,year,isMilitary,cleaned_summary,main_cause
2,1913-08-06,,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913,False,"['first', 'fatal', 'airplane', 'accident', 'canada', 'occurred', 'american', 'barnstormer', 'john', 'bryant', 'california', 'aviator', 'killed']",Unkown
22,1919-05-25,,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919,False,"['caught', 'fire', 'midair', 'pilot', 'leaped', 'plane', 'death', 'plane', 'began', 'go', 'dive']",Pilot Error
40,1920-10-05,,"Valencia, Spain",Latecoere Airlines,Breguet 14,2.0,2.0,0.0,Crashed while landing.,1920,False,"['crashed', 'landing']",Unkown
43,1920-12-14,,"Cricklewood, England",Handley Page Transport,Handley Page HP-16,8.0,4.0,0.0,Crashed into a tree on take off in fog.,1920,False,"['crashed', 'tree', 'take', 'fog']",Weather Conditions
56,1921-09-06,,"Paris, France",Franco-Roumaine,Potez IX,5.0,5.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris.,1921,False,"['crashed', 'making', 'approach', 'le', 'bourget', 'airport', 'paris']",Unkown
58,1922-01-14,,"Paris, France",Handley Page Transport,Handley Page O/10,5.0,5.0,5.0,Crashed at Le Bourget field.,1922,False,"['crashed', 'le', 'bourget', 'field']",Unkown
60,1922-04-07,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7.0,7.0,0.0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922,False,"['midair', 'collision', 'occurred', 'poor', 'visibility', 'approximately', 'mile', 'north', 'beauvais', 'france', 'first', 'commercial', 'midair', 'collision', 'aviation', 'history', 'two', 'killed', 'de', 'havilland', 'five', 'faman', 'f']",Collision/Geographical
88,1924-12-24,,"Purley, England",Imperial Airways,de Havilland DH-34B,8.0,8.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",1924,False,"['shortly', 'taking', 'witness', 'observed', 'puff', 'white', 'smoke', 'plane', 'nose', 'dived', 'ground', 'fuel', 'starvation', 'captain', 'stewart', 'seven', 'passenger', 'killed', 'attempted', 'forced', 'landing']",Pilot Error
92,1925-06-25,,"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4.0,4.0,0.0,Crashed in poor weather.,1925,False,"['crashed', 'poor', 'weather']",Weather Conditions
102,1926-07-03,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,7.0,7.0,0.0,Crashed while en route.,1926,False,"['crashed', 'en', 'route']",Unkown
104,1926-07-24,,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,4.0,4.0,0.0,Weather related.,1926,False,"['weather', 'related']",Weather Conditions
105,1926-08-18,,"Hurst, Kent, England",Air Union,Bleriot 155,4.0,4.0,0.0,Crashed in adverse weather conditions.  Engine failure.,1926,False,"['crashed', 'adverse', 'weather', 'condition', 'engine', 'failure']",Weather Conditions
107,1926-10-08,,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4.0,4.0,0.0,Weather related.,1926,False,"['weather', 'related']",Weather Conditions
108,1926-10-21,13:15,English Channel,Imperial Airways,Handley Page W-10,12.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",1926,False,"['plane', 'flight', 'london', 'paris', 'power', 'lost', 'starboard', 'engine', 'aircraft', 'began', 'lose', 'altitude', 'eventually', 'ditched', 'sea', 'mile', 'english', 'coast', 'plane', 'stayed', 'afloat', 'long', 'enough', 'fishing', 'boat', 'invicta', 'piloted', 'captain', 'marshall', 'rescue', 'aboard', 'plane', 'named', 'prince', 'henry']",Pilot Error
113,1927-03-24,,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3.0,3.0,0.0,Stalled at low altitiude on approach to land,1927,False,"['stalled', 'low', 'altitiude', 'approach', 'land']",Unkown
114,1927-04-15,,"King Hill, Idaho",Varney Air Lines,,1.0,1.0,0.0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,1927,False,"['crashed', 'unsuccessful', 'attempt', 'fly', 'strong', 'headwind', 'engine', 'quit', 'plane', 'nosedived', 'ground']",Mechanical Failure
116,1927-04-22,,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2.0,2.0,0.0,Engine failure.,1927,False,"['engine', 'failure']",Mechanical Failure
118,1927-07-27,,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5.0,5.0,0.0,Engine failure.,1927,False,"['engine', 'failure']",Mechanical Failure
119,1927-08-22,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",1927,False,"['broken', 'wire', 'led', 'partial', 'loss', 'rudder', 'crash', 'landing', 'resulted', 'aircraft', 'striking', 'tree', 'killing', 'flight', 'engineer']",Unkown
